paper_id,duration,trt_id,year,till_type,till_equipment,till_depth_cm,till_numpasses,till_dates,trt_name,trt_other_description
6010,2011-3,0,1;2;3,conventional tillage,hand,15 cm,NA,NA,CT,NA
6010,2011-3,1,1;2;3,minimum tillage,hand,holes for crops only,NA,NA,MT,NA
6010,2011-3,2,1;2;3,tied ridging,hand,0.2 cm ridges and 1 m between ties,NA,NA,TR,NA
6011,2003-10,0,1;2;3;4;5;6;7;8;9;10,conventional tillage,hand,"15 cm depth, 8 cm for weeding","1 tillage, 3 weeding",pre plant,T+,NA
6011,2003-10,1,1;2;3;4;5;6;7;8;9;10,reduced tillage,hand,"3 cm depth, hand pulled weeds",1,pre plant,T-,NA
6011,2003-10,2,1;2;3;4;5;6;7;8;9;10,NA,NA,NA,NA,NA,R-,0 Mg/ha maize residue applied to surface
6011,2003-10,3,1;2;3;4;5;6;7;8;9;10,NA,NA,NA,NA,NA,R+,2 Mg/ha maize residue applied to surface
6012,2005-8,0,1;2;3;4;5;6;7;8,conventional tillage,hand,"10-15 cm depth, 10 cm depth for weed control",4,pre plant,CT,NA
6012,2005-8,1,1;2;3;4;5;6;7;8,reduced tillage,hand,"3 cm depth, surface scraping for weed control",4,post plant,RT,NA
6012,2005-8,2,1;2;3;4;5;6;7;8,NA,NA,NA,NA,NA,Rest-,0 Mg/ha maize residue applied to surface
6012,2005-8,3,1;2;3;4;5;6;7;8,NA,NA,NA,NA,NA,Res+,2 Mg/ha maize residue applied to surface
6013,2010-3,0,1;2;3,conventional tillage,hand,NA,NA,NA,conventional tillage,hand weeding
6013,2010-3,1,1;2;3,furrow-ridge,hand,NA,NA,NA,furrow-ridge,herbicides for weed management
6013,2010-3,2,1;2;3,zero tillage,NA,NA,NA,NA,zero tillage,herbicides for weed management
6014,2003-10,0,1;2;3;4;5;6;7;8;9;10,conventional tillage,hand,15 cm,NA,NA,NA,NA
6014,2003-10,1,1;2;3;4;5;6;7;8;9;10,reduced tillage,hand,3 cm,NA,NA,NA,NA
6014,2003-10,2,1;2;3;4;5;6;7;8;9;10,NA,NA,NA,NA,NA,NA,"residue retention, 2 t/ha"
6014,2003-10,3,1;2;3;4;5;6;7;8;9;10,NA,NA,NA,NA,NA,NA,"residue removal, 0 t/ha"
6014,2003-10,4,3;4;5;6,NA,NA,NA,NA,NA,NA,macrofauna excluded with insecticides
