paper_id,duration,trt_id,year,fert_app,fert_type,fert_type_detail,fert_rate,fert_nitrogen,fert_phosphorus,fert_potassium,fert_carbon,fert_date,trt_name,trt_other_description
5015,2016-2,2,1;2,NA,nitrogen mineral fertilizer; phosphorus mineral fertilizer; green manure,nitrogen mineral fertilizer; triple super phosphate (TSP); crop residue,60 kg N/ha; 90 kg P/ha,60 kg N/ha,90 kg P/ha,NA,Present,NA,RF,NA
5015,2016-2,3,1;2,NA,nitrogen mineral fertilizer; phosphorus mineral fertilizer; green manure; animal fertilizer,nitrogen mineral fertilizer; triple super phosphate (TSP); crop residue manure; unspecified animal fertilizer,60 kg N/ha; 90 kg P/ha,60 kg N/ha,90 kg P/ha,Present,Present,NA,RFM,NA
5015,2016-2,4,1;2,NA,green manure; green manure; animal manure,crop residue; unspecified animal manure; Tithonia diversifolia,60 kg N/ha,60 kg N/ha,Present,Present,Present,NA,RTiM,NA
5015,2016-2,5,1;2,NA,green manure; animal manure; phosphorus mineral fertilizer,crop residue; Tithonia diversifolia intercrop; phosphate rock (Minjingu),60 kg N/ha,60 kg N/ha,90 kg P/ha,Present,Present,NA,RTiP,NA
5015,2016-2,6,1;2,NA,green manure; animal manure; legume intercrop,crop residue; unspecified animal manure; Dolichos lablab intercrop,60 kg N/ha,60 kg N/ha,Present,Present,Present,NA,RML,NA
5016,2013-4,0,1;2;3;4,NA,unamended,NA,NA,0 kg N/ha,0 kg P/ha,0 kg K/ha,Absent,NA,NA,NA
5016,2013-4,1,1;2;3;4,NA,phosphorus mineral fertilizer; potassium mineral fertilizer,muriate of potash; triple superphosphate,40 kg P/ha; 60 kg K/ha,0 kg N/ha,40 kg P/ha,60 kg K/ha,Absent,NA,NA,NA
5016,2013-4,2,1;2;3;4,NA,nitrogen mineral fertilizer; potassium mineral fertilizer,urea; muriate of potash,NA,150 kg N/ha,0 kg P/ha,60 kg K/ha,Absent,NA,NA,NA
5016,2013-4,3,1;2;3;4,NA,nitrogen mineral fertilizer; phosphorus mineral fertilizer,urea; triple superphosphate,NA,150 kg N/ha,40 kg P/ha,0 kg K/ha,Absent,NA,NA,NA
5016,2013-4,4,1;2;3;4,NA,nitrogen mineral fertilizer; phosphorus mineral fertilizer; potassium mineral fertilizer,urea; muriate of potash; triple superphosphate,NA,150 kg N/ha,40 kg P/ha,60 kg K/ha,Absent,NA,NA,NA
5017,2006-11,0,1;2;3;4;5;6;7;8;9;10;11,NA,unamended,NA,NA,NA,NA,NA,NA,NA,NA,NA
5017,2006-11,1,1;2;3;4;5;6;7;8;9;10;11,"half applied at planting, other half six weeks later",nitrogen mineral fertilizer; phosphorus mineral fertilizer; potassium mineral fertilizer,Mavuno (NPK 10:26:10),50-60 kg N/ha,50-60 kg N/ha,Present,Present,Present,NA,NA,NA
5017,2006-11,2,1;2;3;4;5;6;7;8;9;10;11,incorporated to 20 cm depth,biochar,pyrolysis Acacia spp. Wood,100 Mg dry weight/ha,Absent,Present,Present,Present,NA,NA,NA
5017,2006-11,2,1;2;3;4;5;6;7;8;9;10;11,NA,bare fallow,NA,NA,NA,NA,NA,NA,NA,NA,NA
5018,2016-2,0,1;2,NA,Unamended,NA,NA,NA,NA,NA,NA,NA,Control,NA
5018,2016-2,1,1;2,NA,Nitrogen Mineral Fertilizer,unspecified mineral fertilizer (60 kg N/ha),60 kg N/ha,NA,NA,NA,NA,NA,F,NA
5018,2016-2,2,1;2,NA,Nitrogen Mineral Fertilizer; Green Manure,mineral fertilizer and crop residue (equavilent to 60 kg N/ha),60 kg N/ha,NA,NA,NA,NA,NA,RF,NA
5018,2016-2,3,1;2,NA,Unspecified Mineral Fertilizer; Green Manure; Animal Manure,"unspecified mineral fertilizer, crop residue manure, unspecified animal fertilizer (equavilent to 60 kg N/ha)",60 kg N/ha,NA,NA,NA,NA,NA,RFM,NA
5018,2016-2,4,1;2,NA,Green Manure; Animal Manure; Legume Intercrop,"crop residue, unspecified animal manure, Dolichos lablab intercrop (equavilent to 60 kg N/ha)",60 kg N/ha,NA,NA,NA,NA,NA,RML,NA
5018,2016-2,5,1;2,NA,Green Manure; Animal Manure; Legume Intercrop,"crop residue, unspecified animal manure, Tithonia diversifolia (equavilent to 60 kg N/ha)",60 kg N/ha,NA,NA,NA,NA,NA,RTiM,NA
5018,2016-2,6,1;2,NA,Green Manure; Legume Intercrop; Mineral Fertilizer,"crop residues, Tithonia diversifolia intercrop, phosphate rock (Minjingu) (equavilent to 60 kg N/ha)",60 kg N/ha,NA,NA,NA,NA,NA,RTiP,NA
5018,2016-2,7,1;2,NA,NA,NA,NA,NA,NA,NA,NA,NA,D15,"conventional tillage, 15 cm depth"
5018,2016-2,8,1;2,NA,NA,NA,NA,NA,NA,NA,NA,NA,D0,"minimum tillage, 0 cm depth in interrow, mix in amendments in row"
5019,2014-2,0,1;2,NA,Unamended,unfertilized,NA,NA,NA,NA,NA,NA,NA,NA
5019,2014-2,1,1;2,NA,Biological,Biofix® soya from MEA Ltd (Kenya) containing Bradyrhizobium diazoefficiens strain USDA110,NA,NA,NA,NA,NA,NA,NA,NA
5019,2014-2,2,1;2,NA,Biological,Legumefix® soya from Legume technology (UK) containing Bradyrhizobium japonicum strain 532c,NA,NA,NA,NA,NA,NA,NA,NA
5020,2015-1,0,1,NA,Unamended,unfertilized,NA,NA,NA,NA,NA,NA,NA,NA
5020,2015-1,1,1,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,Urea; Triple superphosphate; Muriate of potash,NA,NA,NA,NA,NA,NA,NA,NA
5020,2015-1,2,1,NA,Animal Manure; Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,Farm yard manure; Urea; Triple superphosphate,NA,NA,NA,NA,NA,NA,NA,NA
5020,2015-1,3,1,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer; Micronutrient Mineral Fertilizer,Mavuno; Zinc oxide; Copper oxide,NA,NA,NA,NA,NA,NA,NA,NA
5020,2015-1,4,1,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer; Micronutrient Mineral Fertilizer,Urea; Triple superphosphate; Muriate of potash; Mavuno; Zinc oxide; Copper oxide,NA,NA,NA,NA,NA,NA,NA,NA
5021,2003-13,0,1;2;3;4;5;6;7;8;9;10;11;12 13,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,Urea; Triple superphosphate; Muriate of potash,up to 60 kg N/ha,up to 60 kg N/ha,Present,Present,Absent,NA,NA,NA
5021,2003-13,1,1;2;3;4;5;6;7;8;9;10;11;12 13,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer; Animal Manure,Farm yard manure; Urea; Triple superphosphate; Muriate of potash,up to 60 kg N/ha,up to 60 kg N/ha,Present,Present,Present,NA,NA,NA
5022,2015-2,0,1;2,NA,Unamended,unfertilized,NA,NA,NA,NA,NA,NA,NA,NA
5022,2015-2,1,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,diammonium phophate,"DAP, 18:46:0",40 kg N/ha,Present,Absent,Absent,NA,NA,NA
5022,2015-2,2,1;2,NA,Animal Manure,fresh cattle manure,10 t/ha,29.5 kg N/ha,Present,Present,Present,NA,NA,NA
5022,2015-2,3,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Animal Manure,diammonium phophate; fresh cattle manure,"DAP, 18:46:0; manure, 10 t/ha",34.7 kg N/ha,Present,Present,Present,NA,NA,NA
5023,2013-2,0,1;2,NA,Unamended,unfertilized,NA,NA,NA,NA,NA,NA,NA,NA
5023,2013-2,1,1;2,NA,Phosphorus Mineral Fertilizer,Triple superphosphate,60 kg/ha,Absent,Present,Absent,Absent,NA,TSP,NA
5023,2013-2,2,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,Urea; Triple superphosphate,60 kg/ha TSP; 100 kg N/ha urea,100 kg N/ha,Present,Absent,Absent,NA,TSP-Urea,NA
5023,2013-2,3,1;2,NA,Green manure,Water hyacinth compost,NA,100 kg N/ha,Present,Present,Present,NA,WH,NA
5023,2013-2,4,1;2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NI,uninnoculated
5023,2013-2,5,1;2,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,innoculated
5024,2013-3,0,1;2;3,NA,Unamended,unfertilized,NA,0 kg N/ha,0 kg P/ha,0 kg K/ha,Absent,NA,NA,NA
5024,2013-3,1,1;2;3,NA,Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,Triple super phosphate; Muriate of potash,NA,0 kg N/ha,40 kg P/ha,60 kg K/ha,Absent,NA,NA,NA
5024,2013-3,2,1;2;3,NA,Nitrogen Mineral Fertilizer; Potassium Mineral Fertilizer,Urea (3 equal applications); Muriate of potash,NA,150 kg N/ha,0 kg P/ha,60 kg K/ha,Absent,NA,NA,NA
5024,2013-3,3,1;2;3,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,Urea (3 equal applications); Triple super phosphate,NA,150 kg N/ha,40 kg P/ha,0 kg K/ha,Absent,NA,NA,NA
5024,2013-3,4,1;2;3,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,Urea (3 equal applications); Triple super phosphate; Muriate of potash,NA,150 kg N/ha,40 kg P/ha,60 kg K/ha,Absent,NA,NA,NA
5025,2014-1,0,1,NA,Unamended,unfertilized,NA,NA,NA,NA,NA,NA,NA,NA
5025,2014-1,1,1,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,Urea (2 equal applications); Triple Super Phosphate (TSP); Muriate of Potash (MOP),NA,100 kg N/ha,30 kg P/ha,60 kg K/ha,NA,NA,NA,NA
5026,2011-2,0,1;2,NA,Unamended,unfertilized,NA,NA,NA,NA,NA,NA,Control,NA
5026,2011-2,1,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,Diammonium phosphate (18% N) at planting equalling 1/3 fertilizer N; Urea (46% N) applied 5 weeks post planting equalling 2/3 fertilizer N,NA,50 kg N/ha,Present,Absent,Absent,NA,50,NA
5026,2011-2,2,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,Diammonium phosphate (18% N) at planting equalling 1/3 fertilizer N; Urea (46% N) applied 5 weeks post planting equalling 2/3 fertilizer N,NA,75 kg N/ha,Present,Absent,Absent,NA,75,NA
