"","paper_id"
"1",5000
"241",5001
"245",5002
"525",5003
"750",5004
"4314",5005
"4420",5006
"4424",5007
"4457",5008
"4619",5009
"4763",5010
"4773",5011
"4795",5057
"4803",5059
"4810",5014
"5276",5062
"5313",5042
"5330",5052
"5416",5053
"5496",5041
"5544",5033
"5998",5050
"6110",5036
"7013",5018
"7293",5012
"7348",5015
"7659",5032
"7826",5013
"8209",5020
"8495",5022
"8515",5051
"8633",5029
"8911",5016
"9411",5017
"9873",5019
"9983",5021
"10016",5064
"10052",5023
"11300",5024
"11360",5025
"11364",5026
"11384",5027
"11420",5028
"11695",5030
"11696",5031
"12329",5055
"12833",5034
"13307",5045
"13358",5035
"14382",5068
"14472",5037
"14520",5038
"14535",5039
"14559",5040
"14595",5066
"14601",5048
"15071",5043
"15073",5044
"15253",5046
"15273",5047
"15321",5049
"15927",5054
"15981",5056
"16067",5058
"16136",5060
"16176",5061
"16318",5063
"16815",5065
"16871",5067
"17378",5069
