"","paper_id","doi","loc_multi","soil_type","city","country","elevation","year_start","years_num","annual_precip","field_history","exp_design","exp_arrangement","reps","plot_width","plot_length","trtmt_levels","trtmt_main","trtmt_main_levels","trtmt_splitA","trtmt_splitA_levels","trtmt_splitB","trtmt_splitB_levels","trtmt_splitC","trtmt_splitC_levels","DESCRIPTIO"
"36",4017,"10.1080/09670879309371803",2,"NA","Rusinga Island","Kenya","1100-1300",1981,9,"NA","farmer's fields","completely randomized block","split-plot","4","3","3",2,"crop diversity",2,"genotype","6","NA","NA","NA","NA","Highland perennial"
"37",4017,"10.1080/09670879309371803",3,"NA","Oyugis","Kenya","1300-1700",1981,9,"1200-1800","farmer's fields","completely randomized block","split-plot","4","3","3",2,"crop diversity",2,"genotype","6","NA","NA","NA","NA","Maize mixed"
"38",4017,"10.1080/09670879309371803",4,"NA","Kendu Bay","Kenya","1140-1350",1981,9,"900-1200","farmer's fields","completely randomized block","split-plot","4","3","3",2,"crop diversity",2,"genotype","6","NA","NA","NA","NA","Maize mixed"
"39",4018,"10.1017/S0014479719000280",1,"Acrisols/sandy clay loam","Rongo District, Migori County","Kenya","1474",2016,2,"1000","farmer's fields","randomized complete block","split-plot","3","6","12",1,"crop diversity",5,"NA","NA","NA","NA","NA","NA","Maize mixed"
"40",4019,"10.1080/09670870600816991",1,"NA","ICIPE Thomas Odhiambo Campus, Mbita Point","Kenya","1125",2002,3,"NA","research station","paired comparisons","split-plot","2","30","30",1,"crop diversity",2,"NA","2","NA","NA","NA","NA","Highland perennial"
"41",4019,"10.1080/09670870600816991",2,"NA","Lambwe Division of Suba District","Kenya",NA,2003,2,"NA","farmer's fields","paired comparisons","split-plot","3","30","30",1,"crop diversity",2,"NA","2","NA","NA","NA","NA","Highland perennial"
"42",4020,"10.1023/A:1020525521180",1,"NA","ICIPE Thomas Odhiambo Campus, Mbita Point","Kenya","1125",1998,3,"NA","research station","quasi-complete Latin square design","split-plot","6","6","6",3,"crop diversity",5,"nitrogen source","2","mulch","2","NA","NA","Highland perennial"
"43",4021,"10.1111/j.1570-7458.2011.01217.x",1,"humic nitisols","Kenya Agricultural Research Institute, Embu, Kenya",NA,"1480",2009,1,"1238","research station","randomized complete block",NA,"4","10","5",1,"crop diversity",6,"NA","NA","NA","NA","NA","NA","Maize mixed"
"44",4022,"10.1016/j.apsoil.2019.04.015",1,"Ferric Luvisol","Nyandarua","Kenya","2552",2016,3,"1500","NA","randomized complete block","NA","4","4.25","6.5",1,"crop diversity",5,"NA","NA","NA","NA","NA","NA","Maize mixed"
"45",4022,"10.1016/j.apsoil.2019.04.015",2,"Rhodic Ferralsol","Kirinyaga","Kenya","1552",2016,3,"900","NA","randomized complete block","NA","4","4.25","6.5",1,"crop diversity",5,"NA","NA","NA","NA","NA","NA","Maize mixed"
"46",4022,"10.1016/j.apsoil.2019.04.015",3,"Humic Nitisol","Kabete","Kenya","1854",2016,3,"1006","NA","randomized complete block","NA","4","4.25","6.5",1,"crop diversity",5,"NA","NA","NA","NA","NA","NA","Maize mixed"
"47",4023,"10.3389/fenvs.2019.00097",1,"Humic Nitisol","Kenya Agricultural and Livestock Research Institute (KALRO) in Embu County","Kenya","1420",2010,6,"1250","research station","randomized complete block","NA","3","8","10",3,"crop diversity",3,"tillage","2","residue management","2","NA","NA","Maize mixed"
"48",4023,"10.3389/fenvs.2019.00097",2,"Eutric Nitisol","Kenya Agricultural and Livestock Research Institute (KALRO) Kakamega","Kenya","1534",2010,6,"1978","research station","randomized complete block","NA","3","8","10",3,"crop diversity",3,"tillage","2","residue management","2","NA","NA","Maize mixed"
"49",4023,"10.3389/fenvs.2019.00097",3,"Ferralsol","Nyabeda","Kenya","1420",2003,15,"1800","research station","NA","NA","3","4.5","7",1,"crop diversity",4,"NA","NA","NA","NA","NA","NA","Highland perennial"
