"","paper_id","doi","loc_multi","soil_type","city","country","elevation","year_start","years_num","annual_precip","field_history","exp_design","exp_arrangement","reps","plot_width","plot_length","trtmt_levels","trtmt_main","trtmt_main_levels","trtmt_splitA","trtmt_splitA_levels","trtmt_splitB","trtmt_splitB_levels","trtmt_splitC","trtmt_splitC_levels","DESCRIPTIO"
"1",5000,"10.1007/s00374-018-01338-3",1,"Typic Kandiudult","Kapsengere","Kenya","NA",2012,4,"2000","NA","randomized complete block","NA","3","2","2",3,"biochar",2,"green manure","3","urea","2","NA","NA","Maize mixed"
"2",5001,"10.1016/j.agee.2020.107165",1,"haplic and plinthic Acrisols","Nyawara sublocation, Siaya County","Kenya","1404",2012,4,"1433.5","farmer's fields","paired comparisons","NA","3 or 4","4.5","5",1,"mineral fertilizer",2,"NA","NA","NA","NA","NA","NA","Maize mixed"
"3",5002,"10.1016/j.actao.2020.103622",1,"NA","Nyangati, Mwea sub-County","Kenya","1202",2018,1,"1700","NA","completely randomized block design","NA","4","6","6",1,"fertilizer type",5,"NA","NA","NA","NA","NA","NA","Maize mixed"
"4",5003,"10.1016/j.agee.2020.107064 R",1,"NA","Tharaka-Nithi County","Kenya","1436",2018,2,"420 to 750","farmer's fields","randomized complete block","NA","3","4.5","6",1,"fertilizer type",4,"NA","NA","NA","NA","NA","NA","Maize mixed"
"5",5003,"10.1016/j.agee.2020.107064 R",2,"NA","Tharaka-Nithi County","Kenya","1439",2018,2,"420 to 750","farmer's fields","randomized complete block","NA","3","4.5","6",1,"fertilizer type",4,"NA","NA","NA","NA","NA","NA","Maize mixed"
"6",5003,"10.1016/j.agee.2020.107064 R",3,"NA","Tharaka-Nithi County","Kenya","1434",2018,2,"420 to 750","farmer's fields","randomized complete block","NA","3","4.5","6",1,"fertilizer type",4,"NA","NA","NA","NA","NA","NA","Maize mixed"
"7",5004,"10.3389/fpls.2020.574592",1,"Acric Ferralsols","Kenyatta University teaching and demonstration farm, Nairobi County","Kenya","1580",2019,2,"925","research farm","randomized complete block","NA","3","4","4",1,"fertilizer type",3,"fertilizer rate","4","NA","NA","NA","NA","Maize mixed"
"8",5004,"10.3389/fpls.2020.574592",2,"Acric Ferralsols","Kenyatta University teaching and demonstration farm, Nairobi County","Kenya","1580",2019,2,"925","research farm","randomized complete block","NA","3","4","4",1,"fertilizer type",3,"fertilizer rate","4","NA","NA","NA","NA","Maize mixed"
"9",5005,"10.1016/j.fcr.2020.107833",1,"Nitisol","Embu County","Kenya","NA",2017,2,"875","farmer's fields (10 farms)","one farm one replicate randomized design","NA","1","5","10",1,"tillage * fertilizer amendment",4,"NA","NA","NA","NA","NA","NA","Maize mixed"
"10",5005,"10.1016/j.fcr.2020.107833",2,"Cambisol","Machang’a","Kenya","NA",2017,2,"635","farmer's fields (8 farms)","one farm one replicate randomized design","NA","1","3.5","5",1,"tillage * fertilizer amendemtn",4,"NA","NA","NA","NA","NA","NA","Maize mixed"
"11",5006,"10.1080/14735903.2020.1793646",1,"humic Acrisols and deep humic Acrisols","Dakabaricha, Marsabit County","Kenya","1680",2017,1,"727","farmer's fields (3 farms)","NA","NA","3","5","5",1,"fertilizer type",2,"NA","NA","NA","NA","NA","NA","Agro-pastoral millet/sorghum"
"12",5006,"10.1080/14735903.2020.1793646",2,"humic Acrisols and deep humic Acrisols","Songa, Marsabit County","Kenya","1680",2017,1,"727","farmer's fields (3 farms)","NA","NA","3","5","5",1,"fertilizer type",2,"NA","NA","NA","NA","NA","NA","Agro-pastoral millet/sorghum"
"13",5006,"10.1080/14735903.2020.1793646",3,"humic Acrisols and deep humic Acrisols","Badassa, Marsabit County","Kenya","1680",2017,1,"727","farmer's fields (3 farms)","NA","NA","3","5","5",1,"fertilizer type",2,"NA","NA","NA","NA","NA","NA","Agro-pastoral millet/sorghum"
"14",5006,"10.1080/14735903.2020.1793646",4,"humic Acrisols and deep humic Acrisols","Sagante, Marsabit County","Kenya","1680",2017,1,"727","farmer's fields (3 farms)","NA","NA","3","5","5",1,"fertilizer type",2,"NA","NA","NA","NA","NA","NA","Pastoral"
"15",5007,"10.3389/fenvs.2020.00080",1,"NA","North East Ugenya, Siaya County","Kenya","NA",2018,1,"NA","farmer's fields","completely randomized","NA","2","NA","NA",1,"fertilizer timing",3,"NA","NA","NA","NA","NA","NA","Highland perennial"
"16",5008,"10.1029/2019JG005427",1,"sandy loam, less weathered, yellowish red, Xanthic Ferralsols","Machang'a secondary school, Embu County","Kenya","1030",2004,15,"780","secondary school's land","randomized complete block","NA","3","4.5","6",1,"fertilizer type",4,"NA","NA","NA","NA","NA","NA","Maize mixed"
"17",5010,"10.1016/j.agsy.2020.102831",1,"Acrisol & Nitisol","Bungoma","Kenya","2150-2160",2017,2,"NA","farmer's fields (14 farms 2017, 6 farms 2018)","paired comparisons","NA","1","10","10",1,"fertilizer amount",2,"NA","NA","NA","NA","NA","NA","Maize mixed"
"18",5010,"10.1016/j.agsy.2020.102831",2,"Acrisol & Graysol","Busia","Kenya","1150-1250",2017,2,"NA","farmer's fields (7 farms 2017, 0 farms 2018)","paired comparisons","NA","1","10","10",1,"fertilizer amount",2,"NA","NA","NA","NA","NA","NA","Maize mixed"
"19",5010,"10.1016/j.agsy.2020.102831",3,"Acrisol","Butere","Kenya","1280-1400",2017,2,"NA","farmer's fields (14 farms 2017, 12 farms 2018)","paired comparisons","NA","1","10","10",1,"fertilizer amount",2,"NA","NA","NA","NA","NA","NA","Maize mixed"
"20",5010,"10.1016/j.agsy.2020.102831",4,"Acrisol & Ferralsol","Kakamega","Kenya","1480-1690",2017,2,"NA","farmer's fields (33 farms 2017, 13 farms 2018)","paired comparisons","NA","1","10","10",1,"fertilizer amount",2,"NA","NA","NA","NA","NA","NA","Maize mixed"
"21",5010,"10.1016/j.agsy.2020.102831",5,"Acrisol & Nitisol","Siaya","Kenya","1300",2017,2,"NA","farmer's fields (14 farms 2017, 14 farms 2018)","paired comparisons","NA","1","10","10",1,"fertilizer amount",2,"NA","NA","NA","NA","NA","NA","Highland perennial"
"22",5011,"10.4081/ija.2020.1381",1,"Nitisols","Kangutu primary school farm, Meru South","Kenya","NA",2016,2,"400 to 1400","primary school's land","randomized complete block","split-plot","4","NA","NA",2,"tillage",2,"fertility type","6","NA","NA","NA","NA","Maize mixed"
